boro_code,ct2010,c_lat,c_lon
4,075702,40.724,-73.84
2,024501,40.853,-73.915
3,031900,40.667,-73.949
3,033300,40.666,-73.943
4,036700,40.763,-73.868
4,036500,40.76,-73.866
1,013300,40.765,-73.988
1,012700,40.762,-73.99
1,007600,40.748,-73.987
1,010100,40.75,-73.992
5,018701,40.611,-74.127
5,029104,40.614,-74.164
1,022800,40.816,-73.943
1,003601,40.722,-73.991
1,004300,40.723,-73.995
1,016100,40.78,-73.977
5,017600,40.53,-74.176
1,002500,40.71,-73.999
2,030900,40.897,-73.914
2,032300,40.905,-73.908
2,013200,40.816,-73.821
5,018901,40.612,-74.14
5,025100,40.618,-74.146
5,017300,40.605,-74.118
5,016901,40.612,-74.109
1,006300,40.734,-73.997
1,015400,40.781,-73.949
4,004002,40.682,-73.843
3,036001,40.576,-73.966
3,016700,40.664,-73.979
3,115800,40.669,-73.892
3,123700,40.697,-73.957
4,004200,40.682,-73.858
3,074200,40.627,-73.945
3,022900,40.685,-73.957
2,028900,40.88,-73.907
4,152902,40.759,-73.724
1,004500,40.721,-73.999
3,018501,40.695,-73.974
1,021303,40.815,-73.953
5,024401,40.51,-74.238
4,037100,40.764,-73.864
3,005000,40.624,-74.038
1,028100,40.857,-73.935
1,006800,40.74,-73.984
1,017700,40.79,-73.969
1,002601,40.723,-73.98
1,018700,40.798,-73.972
1,022200,40.808,-73.949
1,003602,40.725,-73.99
3,005201,40.622,-74.038
3,005202,40.619,-74.039
2,026400,40.842,-73.832
4,145900,40.754,-73.792
1,002602,40.724,-73.979
1,003200,40.726,-73.984
1,003300,40.719,-74.006
1,019400,40.8,-73.935
1,021600,40.801,-73.954
1,021800,40.803,-73.953
2,008300,40.814,-73.902
2,038301,40.857,-73.899
2,024100,40.853,-73.906
1,008700,40.742,-73.997
1,005200,40.737,-73.99
1,005400,40.739,-73.994
1,020701,40.809,-73.958
1,017100,40.788,-73.979
1,025100,40.84,-73.94
2,018102,40.832,-73.918
2,018101,40.832,-73.916
1,027100,40.852,-73.934
1,029500,40.868,-73.925
2,002500,40.807,-73.921
2,003900,40.81,-73.921
1,004000,40.731,-73.986
1,006900,40.73,-74.01
2,023900,40.859,-73.903
2,002701,40.805,-73.916
2,002702,40.806,-73.914
2,017701,40.833,-73.911
1,008100,40.74,-73.999
1,017500,40.79,-73.978
1,017300,40.788,-73.971
2,041900,40.877,-73.882
2,041500,40.87,-73.884
2,039902,40.86,-73.895
2,022701,40.847,-73.911
2,023301,40.85,-73.909
2,017901,40.835,-73.915
2,019700,40.835,-73.92
1,019500,40.803,-73.968
1,019900,40.806,-73.967
4,072300,40.716,-73.848
4,073700,40.718,-73.843
2,022902,40.844,-73.907
3,061004,40.58,-73.956
3,061200,40.581,-73.95
3,117800,40.682,-73.874
5,004000,40.614,-74.081
4,065400,40.662,-73.74
3,088600,40.657,-73.921
3,088800,40.654,-73.918
3,054900,40.711,-73.966
1,009700,40.75,-73.999
1,010300,40.752,-73.997
5,006400,40.597,-74.079
4,036600,40.686,-73.763
1,008000,40.749,-73.978
4,138501,40.755,-73.755
1,003700,40.726,-74.007
3,007600,40.644,-74.015
3,034000,40.572,-73.996
3,005400,40.617,-74.036
3,103400,40.635,-73.883
5,015601,40.542,-74.155
4,039800,40.695,-73.765
4,052800,40.694,-73.759
4,079000,40.672,-73.797
4,078800,40.67,-73.79
3,002000,40.648,-74.016
4,137700,40.747,-73.75
3,007200,40.64,-74.02
3,016000,40.619,-74.027
2,025500,40.861,-73.909
3,102800,40.628,-73.893
